,id,type,date,date_unixtime,from,from_id,text,text_entities,edited,edited_unixtime,forwarded_from,file,thumbnail,media_type,mime_type,duration_seconds,width,height,photo,title,actor,actor_id,action,message_id
0,3109,message,2022-02-25T00:45:21,1645739121,Накипело. Майкл Наки,channel1136078154,"['Это был чудовищный день. День, когда Путин начал войну. Обстрелы мирных украинских городов, гибель гражданских, мертвые солдаты с обеих сторон. Мы все не отлипали от новостных сводок, но почти все они были переполнены дезинформацией и ложью. Поэтому я попросил Руслана Левиева из Conflict Intelligence Team рассказать, что происходило на самом деле, какова обстановка прямо сейчас и чего нам ждать в дальнейшем. Команда CIT щепетильно относится к проверке информации и редко ошибается, поэтому я считаю их надежным источником.\n\n', {'type': 'link', 'text': 'https://youtu.be/1aKIzR_jMw8'}, '']","[{'type': 'plain', 'text': 'Это был чудовищный день. День, когда Путин начал войну. Обстрелы мирных украинских городов, гибель гражданских, мертвые солдаты с обеих сторон. Мы все не отлипали от новостных сводок, но почти все они были переполнены дезинформацией и ложью. Поэтому я попросил Руслана Левиева из Conflict Intelligence Team рассказать, что происходило на самом деле, какова обстановка прямо сейчас и чего нам ждать в дальнейшем. Команда CIT щепетильно относится к проверке информации и редко ошибается, поэтому я считаю их надежным источником.\n\n'}, {'type': 'link', 'text': 'https://youtu.be/1aKIzR_jMw8'}, {'type': 'plain', 'text': ''}]",,,,,,,,,,,,,,,,
1,3110,message,2022-02-25T10:58:35,1645775915,Накипело. Майкл Наки,channel1136078154,"['Мы против войны. И нас много. Нас большинство. Не молчите.\n\n', {'type': 'link', 'text': 'https://youtu.be/I2jkzoIPQPE'}, '']","[{'type': 'plain', 'text': 'Мы против войны. И нас много. Нас большинство. Не молчите.\n\n'}, {'type': 'link', 'text': 'https://youtu.be/I2jkzoIPQPE'}, {'type': 'plain', 'text': ''}]",,,,,,,,,,,,,,,,
2,3111,message,2022-02-25T15:26:42,1645792002,Накипело. Майкл Наки,channel1136078154,"['Может это я какой-то не такой, но всю жизнь я думал, что захватническая наступательная война – это позор. Что бомбежка мирных городов – это неприемлемо, и именно против этого сражались мои прадедушка и прабабушка. В 2022 году вдруг оказалось, что человек, на каждом параде повторяющий, что нельзя допустить повторения страшных событий середины прошлого века, буквально устраивает войну. И в лучших традициях Геббельса официальные лица и пропаганда врут каждую секунду, пытаясь убедить людей, что война – это мир. Гибнут мирные граждане Украины и храбрые украинские солдаты, борющиеся с превосходящим врагом, гибнут и солдаты российские, которых отправили как пушечное мясо. Как это произошло? И что нам надо сделать, дабы остановить это? Об этом в свежем выпуске.\n\n', {'type': 'link', 'text': 'https://youtu.be/EmePFaaS23g'}, '']","[{'type': 'plain', 'text': 'Может это я какой-то не такой, но всю жизнь я думал, что захватническая наступательная война – это позор. Что бомбежка мирных городов – это неприемлемо, и именно против этого сражались мои прадедушка и прабабушка. В 2022 году вдруг оказалось, что человек, на каждом параде повторяющий, что нельзя допустить повторения страшных событий середины прошлого века, буквально устраивает войну. И в лучших традициях Геббельса официальные лица и пропаганда врут каждую секунду, пытаясь убедить людей, что война – это мир. Гибнут мирные граждане Украины и храбрые украинские солдаты, борющиеся с превосходящим врагом, гибнут и солдаты российские, которых отправили как пушечное мясо. Как это произошло? И что нам надо сделать, дабы остановить это? Об этом в свежем выпуске.\n\n'}, {'type': 'link', 'text': 'https://youtu.be/EmePFaaS23g'}, {'type': 'plain', 'text': ''}]",2022-02-25T15:35:41,1645792541,,,,,,,,,,,,,,
3,3112,message,2022-02-25T15:53:09,1645793589,Накипело. Майкл Наки,channel1136078154,"['Попросил ', {'type': 'text_link', 'text': 'Илью Шуманова', 'href': 'https://t.me/CorruptionTV'}, ' объяснить, на кой черт Западом вводятся ограничения, касающиеся простых россиян. Коротко — за этим стоит идиотизм (ну или поприличнее — глубокое непонимание). Итак, вот что написал Илья:  \n\nВ военной науке есть такое понятие, как c', {'type': 'bold', 'text': 'ollateral damage (сопутствующий ущерб)'}, '. Этот термин описывает ущерб, возникший случайно в ходе атаки намеренной цели. Обычно сопутствующим ущербом обозначается случайное убийство гражданских лиц или уничтожение гражданского имущества. В случае с введением санкций уже видится, что сопутствующий ущерб может быть значительней эффекта от поражения главных целей, обозначенных ЕС/США: российская политическая элита, клептократы и госмененеджеры. Сопутствующим ущербом можно назвать санкционные ограничения по вкладам для физических лиц из России ', {'type': 'text_link', 'text': 'в финансовых учреждений ЕС ', 'href': 'https://www.bfm.ru/news/493724'}, '(не более €100k) и ', {'type': 'text_link', 'text': 'банках Великобритании (не более £50k). \n\n', 'href': 'https://www.gov.uk/government/news/foreign-secretary-imposes-uks-most-punishing-sanctions-to-inflict-maximum-and-lasting-pain-on-russia'}, 'Логика таких ограничений не выдерживает критики, потому как основная часть олиграхов уже купила/получила паспорта других стран: Роман Абрамович (Португалия, Израиль), Елена Батурина (Кипр), Алишер Усманов, Юрий Шефлер, Саид Гуцериев (Великобритания); Олег Дерипаска, Дмитрий Рыболовлев, Александр Абрамов, Александр Пономаренко (Кипр); Борис Ротенберг (Финляндия). При том, что главная цель таких финансовых ограничений на использование счетов в банках должна коснуться влиятельных людей со связями в Кремле, а в реальности под них попадут обычные граждане России. Визовые ограничения для посещения россиянами стран ЕС/Великобританию/США по этой же причине коснуться не олигархов и клептократов, а обычного представителя российского среднего класса.']","[{'type': 'plain', 'text': 'Попросил '}, {'type': 'text_link', 'text': 'Илью Шуманова', 'href': 'https://t.me/CorruptionTV'}, {'type': 'plain', 'text': ' объяснить, на кой черт Западом вводятся ограничения, касающиеся простых россиян. Коротко — за этим стоит идиотизм (ну или поприличнее — глубокое непонимание). Итак, вот что написал Илья:  \n\nВ военной науке есть такое понятие, как c'}, {'type': 'bold', 'text': 'ollateral damage (сопутствующий ущерб)'}, {'type': 'plain', 'text': '. Этот термин описывает ущерб, возникший случайно в ходе атаки намеренной цели. Обычно сопутствующим ущербом обозначается случайное убийство гражданских лиц или уничтожение гражданского имущества. В случае с введением санкций уже видится, что сопутствующий ущерб может быть значительней эффекта от поражения главных целей, обозначенных ЕС/США: российская политическая элита, клептократы и госмененеджеры. Сопутствующим ущербом можно назвать санкционные ограничения по вкладам для физических лиц из России '}, {'type': 'text_link', 'text': 'в финансовых учреждений ЕС ', 'href': 'https://www.bfm.ru/news/493724'}, {'type': 'plain', 'text': '(не более €100k) и '}, {'type': 'text_link', 'text': 'банках Великобритании (не более £50k). \n\n', 'href': 'https://www.gov.uk/government/news/foreign-secretary-imposes-uks-most-punishing-sanctions-to-inflict-maximum-and-lasting-pain-on-russia'}, {'type': 'plain', 'text': 'Логика таких ограничений не выдерживает критики, потому как основная часть олиграхов уже купила/получила паспорта других стран: Роман Абрамович (Португалия, Израиль), Елена Батурина (Кипр), Алишер Усманов, Юрий Шефлер, Саид Гуцериев (Великобритания); Олег Дерипаска, Дмитрий Рыболовлев, Александр Абрамов, Александр Пономаренко (Кипр); Борис Ротенберг (Финляндия). При том, что главная цель таких финансовых ограничений на использование счетов в банках должна коснуться влиятельных людей со связями в Кремле, а в реальности под них попадут обычные граждане России. Визовые ограничения для посещения россиянами стран ЕС/Великобританию/США по этой же причине коснуться не олигархов и клептократов, а обычного представителя российского среднего класса.'}]",2022-02-25T16:50:04,1645797004,,,,,,,,,,,,,,
4,3113,message,2022-02-25T16:41:56,1645796516,Накипело. Майкл Наки,channel1136078154,"['В 22:00\n\n', {'type': 'link', 'text': 'https://youtu.be/lOK8pYAYsRI'}, '']","[{'type': 'plain', 'text': 'В 22:00\n\n'}, {'type': 'link', 'text': 'https://youtu.be/lOK8pYAYsRI'}, {'type': 'plain', 'text': ''}]",,,,,,,,,,,,,,,,
5,3114,message,2022-02-25T22:04:47,1645815887,Накипело. Майкл Наки,channel1136078154,"['Начали ', {'type': 'text_link', 'text': 'стрим', 'href': 'https://youtu.be/lOK8pYAYsRI'}, ' с', {'type': 'text_link', 'text': ' Майклом', 'href': 'http://t.me/nackepelo'}, '.']","[{'type': 'plain', 'text': 'Начали '}, {'type': 'text_link', 'text': 'стрим', 'href': 'https://youtu.be/lOK8pYAYsRI'}, {'type': 'plain', 'text': ' с'}, {'type': 'text_link', 'text': ' Майклом', 'href': 'http://t.me/nackepelo'}, {'type': 'plain', 'text': '.'}]",,,PLUSHEV/ПЛЮЩЕВ,,,,,,,,,,,,,
6,3115,message,2022-02-26T00:27:22,1645824442,Накипело. Майкл Наки,channel1136078154,"['Второй день войны. Россия пытается штурмовать Киев и засылает диверсантов. Опять много дезинформации и лжи. Поэтому мы решили продолжать с Русланом Левиевым из Conflict Intelligence Team рассказывать, что происходит на самом деле.\n\n', {'type': 'link', 'text': 'https://youtu.be/gGl3W1N0keA'}, '']","[{'type': 'plain', 'text': 'Второй день войны. Россия пытается штурмовать Киев и засылает диверсантов. Опять много дезинформации и лжи. Поэтому мы решили продолжать с Русланом Левиевым из Conflict Intelligence Team рассказывать, что происходит на самом деле.\n\n'}, {'type': 'link', 'text': 'https://youtu.be/gGl3W1N0keA'}, {'type': 'plain', 'text': ''}]",,,,,,,,,,,,,,,,
7,3116,message,2022-02-26T14:56:22,1645876582,Накипело. Майкл Наки,channel1136078154,"['Ночью, когда приходили сообщения о жестких боях и штурме Киева, мы с Сашей вызвонили в эфир Матвея Ганапольского, который как раз находится в этом городе. Он рассказал нам, почему украинцы будут сражаться до конца, и чего не учел Путин. К счастью, в эту ночь Киев выстоял.\n\nГанапольский: ""Вот эту тысячу - и всех украинцев - в своей стране будут хоронить на лафетах нескончаемым потоком на Крещатике. А вот этих – зароют, как собак.""\n\n', {'type': 'link', 'text': 'https://youtu.be/DCc9qgtPPH4'}, '']","[{'type': 'plain', 'text': 'Ночью, когда приходили сообщения о жестких боях и штурме Киева, мы с Сашей вызвонили в эфир Матвея Ганапольского, который как раз находится в этом городе. Он рассказал нам, почему украинцы будут сражаться до конца, и чего не учел Путин. К счастью, в эту ночь Киев выстоял.\n\nГанапольский: ""Вот эту тысячу - и всех украинцев - в своей стране будут хоронить на лафетах нескончаемым потоком на Крещатике. А вот этих – зароют, как собак.""\n\n'}, {'type': 'link', 'text': 'https://youtu.be/DCc9qgtPPH4'}, {'type': 'plain', 'text': ''}]",,,,,,,,,,,,,,,,
8,3117,message,2022-02-26T17:01:48,1645884108,Накипело. Майкл Наки,channel1136078154,"Мы, конечно, как журналисты и как общество сильно накосячили. Сколько раз мы смеялись над тем, что РосТВ превратилось в вестник обличения Украины? Сколько раз мы считали, что нелепость «визитки Яроша» очевидна всем? Сколько раз мы отмахивались от бесконечного шоу «Че там у хохлов»? А они 8 лет работали. 8 лет 3-4 раза в день своими примитивными манипуляция и ложью отравляли население России, внушая ненависть к Украине. Сколько раз мы с усмешкой обсуждали примитивность пропаганды и постановочные драки с «украинскими» экспертами? И что мы имеем теперь? Давайте честно, очень много людей верят в весь этот бред про геноцид и нацистов у украинской власти. И это, конечно, наша ответственность. Заперевшись в башне из слоновой кости, мы не сопротивлялись этому. А миллионы россиян включали телевизор и впитывали эту ложь. И теперь идёт война. Теперь граждане Украины ночуют в метро и там рожают детей. Они не знают, будут ли живы завтра. И все это под одобрительные возгласы оболваненного населения. Поэтому сейчас мы должны сделать все, чтобы эта война закончилась, мы должно объяснить гражданам России, что происходит, как все было на самом деле эти 8 лет. И где настоящий агрессор. Не молчите.","[{'type': 'plain', 'text': 'Мы, конечно, как журналисты и как общество сильно накосячили. Сколько раз мы смеялись над тем, что РосТВ превратилось в вестник обличения Украины? Сколько раз мы считали, что нелепость «визитки Яроша» очевидна всем? Сколько раз мы отмахивались от бесконечного шоу «Че там у хохлов»? А они 8 лет работали. 8 лет 3-4 раза в день своими примитивными манипуляция и ложью отравляли население России, внушая ненависть к Украине. Сколько раз мы с усмешкой обсуждали примитивность пропаганды и постановочные драки с «украинскими» экспертами? И что мы имеем теперь? Давайте честно, очень много людей верят в весь этот бред про геноцид и нацистов у украинской власти. И это, конечно, наша ответственность. Заперевшись в башне из слоновой кости, мы не сопротивлялись этому. А миллионы россиян включали телевизор и впитывали эту ложь. И теперь идёт война. Теперь граждане Украины ночуют в метро и там рожают детей. Они не знают, будут ли живы завтра. И все это под одобрительные возгласы оболваненного населения. Поэтому сейчас мы должны сделать все, чтобы эта война закончилась, мы должно объяснить гражданам России, что происходит, как все было на самом деле эти 8 лет. И где настоящий агрессор. Не молчите.'}]",,,,,,,,,,,,,,,,
9,3118,message,2022-02-26T19:25:23,1645892723,Накипело. Майкл Наки,channel1136078154,"['Люди в России ещё не до конца осознали, что с нападением Путина на Украину изменилась не только жизнь невинных граждан в соседнем государстве, но и бесповоротно определена жизнь в РФ. Телефоны, Apple pay, экраны, почти любая технологическая продукция, машины, да и почти всё, к чему вы привыкли, теперь останутся в воспоминаниях. Не говоря уже о полной изоляции и ненависти со стороны всего мира. Россию ждут темнейшие времена.\n\n', {'type': 'link', 'text': 'https://youtu.be/6WhfAGJ-dJg'}, '']","[{'type': 'plain', 'text': 'Люди в России ещё не до конца осознали, что с нападением Путина на Украину изменилась не только жизнь невинных граждан в соседнем государстве, но и бесповоротно определена жизнь в РФ. Телефоны, Apple pay, экраны, почти любая технологическая продукция, машины, да и почти всё, к чему вы привыкли, теперь останутся в воспоминаниях. Не говоря уже о полной изоляции и ненависти со стороны всего мира. Россию ждут темнейшие времена.\n\n'}, {'type': 'link', 'text': 'https://youtu.be/6WhfAGJ-dJg'}, {'type': 'plain', 'text': ''}]",,,,,,,,,,,,,,,,
