,№,Наименование,Адрес,ИНН,Реестр.№,Включение в реестр
0,1,"Томская региональная общественная организация по защите прав и интересов женщин ""Женский голос""","634028, Томская обл, г. Томск, ул. Тимакова, д. 14, кор. 1, кв. 1",7012010774,370220007,27.05.2022
1,2,"Автономная некоммерческая организация Краснодарский центр современного искусства ""Типография""","350010, г. Краснодар, ул. Зиповская, д. 5, лит. Ы, пом. 1-10",2314050695,623220006,06.05.2022
2,3,"Красноярская региональная общественная организация поддержки и развития альтернативных образовательных технологий и межкультурных коммуникаций ""ИНТЕРРА""","660077, Красноярский край, г. Красноярск, ул. 78 Добровольческой бригады, д. 23, кв. 103",2412011693,324220005,08.04.2022
3,4,Автономная некоммерческая организация для издания научно-популярной газеты «Троицкий вариант — Наука»,"142191, г. Москва, г. Троицк, Микрорайон ""В"", д. 52",7714054320,677220002,24.03.2022
4,5,Благотворительный фонд развития филантропии «КАФ»,"101000, г. Москва, ул. Мясницкая, д. 24/7, стр. 1, пом. I",7714013458,677220003,24.03.2022
5,6,Автономная некоммерческая экологическая организация «Друзья Балтики»,"198516, город Санкт-Петербург, город Петергоф, улица Разводная, дом 12, квартира 101",7814052473,678220004,24.03.2022
6,7,Региональная национально-культурная общественная организация «Туба калык» (Тубалары),"649000, Республика Алтай, г. Горно-Алтайск, ул. Заводская, д. 6",212010250,302220001,03.02.2022
7,8,Автономная некоммерческая организация по реализации социально-правовых программ «Лилит»,"690001, Приморский край, г.о. Владивостокский, г. Владивосток, ул. Дальзаводская, д. 2, каб. 215",2514050629,625210010,17.12.2021
8,9,"Ассоциация по содействию защите прав призывников, альтернативнослужащих и военнослужащих «Правозащитная группа „Гражданин.Армия.Право“»","127051, г. Москва, Малый Каретный пер., д. 12",7714061560,677210009,03.12.2021
9,10,Автономная некоммерческая организация «Нижегородский центр немецкой и европейской культуры»,"603006, Нижегородская область, г. Нижний Новгород, ул. М. Горького, д. 152, кв. 29",5214050310,652210007,29.09.2021
10,11,Ивановская областная общественная организация «Центр гендерных исследований»,"153000, Ивановская обл, Иваново г, Садовая ул, д. 11, кв. 7",3712010103,337210008,29.09.2021
11,12,Некоммерческая организация «Фонд защиты прав граждан „Штаб“»,"450057, Республика Башкортостан, г. Уфа, ул. Пушкина, д. 109",314010541,603210005,23.07.2021
12,13,Автономная некоммерческая организация «Институт права и публичной политики»,"129090, г. Москва, Ботанический пер., д. 7, эт. 3, пом. I, ком. 21, оф. А4Н",7714051552,677210004,15.07.2021
13,14,Некоммерческая организация «Фонд борьбы с коррупцией»,"115304, Москва, ул. Каспийская, д. 22, корп. 1, оф. 5",7714017367,677210002,12.05.2021
14,15,Межрегиональный профессиональный союз работников здравоохранения «Альянс врачей»,"109451, Москва, ул. Братиславская, д. 18, корп. 1, кв. 483",7712112237,277210001,03.03.2021
15,16,Автономная некоммерческая организация «Центр по работе с проблемой насилия „НАСИЛИЮ.НЕТ“»,"111398, Москва, ул. Перовская, д. 26, корп. 2, пом. I, комн. 5",7714058064,677200010,29.12.2020
16,17,Красноярская региональная общественная организация «Мы против СПИДа»,"660049, г. Красноярск, ул. Сурикова, д. 12, оф. 4-10",2412011120,324200007,25.12.2020
17,18,Программно-целевой Благотворительный Фонд «СВЕЧА»,"195271, Санкт-Петербург, Брюсовская улица, дом 20, литера А, квартира 97",7814010518,678200008,25.12.2020
18,19,Санкт-Петербургский благотворительный фонд «Гуманитарное действие»,"197022, город Санкт-Петербург, проспект Каменноостровский, дом 63, литер А, помещение 8-Н",7814012557,678200006,21.12.2020
19,20,Межрегиональная общественная организация реализации социально-просветительских инициатив и образовательных проектов «Открытый Петербург»,"199106, Санкт-Петербург, Большой проспект В.О., дом 62, квартира 74",7812011673,278200004,21.12.2020
20,21,Фонд содействия правовому просвещению населения «Лига Избирателей»,"105066, Москва, пр-д Елоховский, д. 1, стр. 3",7714013959,677200002,28.10.2020
21,22,Некоммерческая Организация Фонд «Правовая инициатива»,"386102, Республика Ингушетия, г. Назрань, Муниципальный округ ЦМО , ул. Московская, д. 5",61401115,606190013,13.12.2019
22,23,Некоммерческая организация «Фонд борьбы с коррупцией»,"115280, Москва, ул. Ленинская слобода д. 19, оф. 21а",7714013315,677190009,09.10.2019
23,24,Пензенский региональный общественный благотворительный фонд «Гражданский Союз»,"440600, Пензенская обл, Пенза г, Урицкого ул, 62, 2026",5812030037,358190008,15.05.2019
24,25,Общественная организация «Саратовский областной еврейский благотворительный Центр „Хасдей Ерушалаим“» (Милосердие),"410005, г. Саратов, ул. Университетская, д. 65/73",6412011203,364190005,12.03.2019
25,26,Частное учреждение «Центр поддержки и содействия развитию средств массовой информации»,"101000, Москва, пер. Лучников, д.7/4, стр.5, пом.24, комн.1",7714042706,677190004,19.02.2019
26,27,Региональная общественная организация содействия соблюдению прав человека «Горячая Линия»,"127994, Москва, ул. Каланчёвская, д. 47, пом. I, ком. 1-5",77120114892,377190003,13.02.2019
27,28,Фонд «В защиту прав заключённых»,"129090, Москва, ул. Каланчёвская, д. 47, эт. 1, помещ. VIII, комн. 1-5",7714011621,677190002,13.02.2019
28,29,Автономная некоммерческая организация «Институт глобализации и социальных движений»,"125319, г. Москва, ул. Красноармейская, д. 29., кв. 43",7714050153,677180006,24.12.2018
29,30,Автономная некоммерческая организация противодействия эпидемии вич/спида и охраны здоровья социально-уязвимых групп населения «Центр социально-информационных инициатив Действие»,"195298, Санкт-Петербург, пр. Косыгина д.27, корп.1, кв.281",7814051695,678180007,24.12.2018
30,31,Благотворительный фонд охраны здоровья и защиты прав граждан,"423827, Республика Татарстан, г. Набережные Челны, бульвар Юных Ленинцев, д. 1, кв. 253",1614010548,616180003,10.07.2018
31,32,Благотворительный фонд помощи осужденным и их семьям,"115172, Москва, Новоспасский пер., д. 3, корп. 2, пом. ХХ, эт. 1",7714014930,677180002,07.05.2018
32,33,Городской благотворительный фонд «Фонд Тольятти»,"445037, Самарская область, г. Тольятти, ул. Юбилейная, д.31 Е, кв.401",6314010207,663170015,20.12.2017
33,34,Свердловский региональный общественный фонд социальных проектов «Новое время»,"620098, Свердловская обл., г. Екатеринбург, ул. Бакинских Комиссаров, 114—192",6612031978,366170008,23.06.2017
34,35,Фонд содействия устойчивому развитию «Серебряная тайга»,"167000, Республика Коми, г. Сыктывкар, ул. Куратова, д. 2, нежилые помещения 1",1114010065,611170007,14.06.2017
35,36,Фонд содействия развитию массовых коммуникаций и правовому просвещению «Так-Так-Так»,"630087, Новосибирская область, г. Новосибирск, пр. Карла Маркса, д. 30, оф. 612",5414010251,654170005,20.02.2017
36,37,Региональная общественная организация содействия просвещению граждан «Информационно-аналитический центр „Сова“»,"101000, Москва, пер. Армянский, д. 9, стр. 1, оф. 11",7712010247,377160043,30.12.2016
37,38,"Региональная общественная организация помощи женщинам и детям, находящимся в кризисной ситуации «Информационно-методический центр Анна»","117342, Москва, ул. Бутлерова, д. 17 Б, пом. XI, комн. 58",7712012584,377160040,26.12.2016
38,39,Автономная некоммерческая организация социальной поддержки населения «Проект Апрель»,"445010 г. Тольятти, Самарская область, ул. Советская, д.51",6314050420,663160039,19.12.2016
39,40,Региональный благотворительный фонд «Самарская губерния»,"443010, Самарская область, г. Самара, ул. Самарская, д. 90",6314010103,663160037,02.11.2016
40,41,Свердловский областной общественный фонд «Эра здоровья»,"620142, ул. Чапаева, д. 23, корп. А, кв. 7",6612030018,366160035,11.10.2016
41,42,"Международная общественная организация «Международное историко-просветительское, благотворительное и правозащитное общество „Мемориал“»","127051, г. Москва, М. Каретный пер., д. 12",12010794,599160034,04.10.2016
42,43,Автономная некоммерческая организация «Аналитический Центр Юрия Левады»,"109012 Москва, ул. Никольская, д. 17, стр.2",7714050179,677160030,05.09.2016
43,44,Автономная некоммерческая организация «Издательство „Парк Гагарина“»,"443100, Самарская область, г. Самара, ул. Лесная, д. 7, офис 202",6314050706,663160029,31.08.2016
44,45,Фонд содействия защите здоровья и социальной справедливости имени Андрея Рылькова,"123060, г. Москва, ул. Маршала Бирюзова, д. 17, кв. 82",7714012326,677160023,29.06.2016
45,46,Благотворительный фонд социально-правовой помощи «Сфера»,"191040, Санкт-Петербург, Лиговский проспект, д. 87, литер А, помещение 15Н",7814011754,678160010,01.03.2016
46,47,Омская региональная общественная организация «Центр охраны здоровья и социальной защиты „СИБАЛЬТ“»,"644043, г. Омск, ул. Фрунзе, д. 40, к. 203",5512010409,355160008,15.02.2016
47,48,Челябинский региональный орган общественной самодеятельности «Уральская правозащитная группа»,"454008, г. Челябинск, ул. Островского, д. 16 А",7412050001,374160006,15.02.2016
48,49,Челябинский региональный орган общественной самодеятельности — женское общественное объединение «Женщины Евразии»,"454008, г. Челябинск, ул. Островского, 16 А",7412050006,374160007,15.02.2016
49,50,Городская общественная организация «Рязанское историко-просветительское и правозащитное общество „Мемориал“ (Рязанский Мемориал)»,"390044, г. Рязань, ул. Ветеринарная, д. 17, Н7",6212011060,462160004,01.02.2016
50,51,Городская общественная организация «Екатеринбургское общество „МЕМОРИАЛ“»,"620062, Свердловская обл., г. Екатеринбург, пр. Ленина, д. 99, цокольный этаж",6612010535,466150081,30.12.2015
51,52,Автономная некоммерческая организация «Институт прав человека»,"129515, город Москва, улица Ак. Королева, д. 7, корп.1, кв. 2",7714051536,677150074,20.11.2015
52,53,Некоммерческая организация «Фонд защиты гласности»,"119992, Москва, Зубовский б-р, д.432",7714011394,677150073,19.11.2015
53,54,Региональное общественное учреждение научно-информационный центр «МЕМОРИАЛ»,"191002, Санкт-Петербург, ул. Рубинштейна, 23-103",7812040041,378150071,06.11.2015
54,55,Союз общественных объединений «Российский исследовательский центр по правам человека»,"103982, г. Москва, Лучников пер., 4, офис 2",12070213,199150067,20.10.2015
55,56,Автономная некоммерческая организация «Дальневосточный центр развития гражданских инициатив и социального партнёрства»,"690106, Приморский край, г. Владивосток, ул. Нерчинская, д.40",2514050092,625150066,13.10.2015
56,57,Фонд «Гражданское действие»,"614000, г. Пермь, ул. Екатерининская, 120А",5914012636,659150054,05.08.2015
57,58,Автономная некоммерческая организация «Центр независимых социологических исследований»,"191040, Санкт-Петербург, Лиговский пр., д. 87, литер А, пом. 24Н",7814050049,678150043,22.06.2015
58,59,Свердловская региональная общественная организация «Сутяжник»,"620075 Свердловская обл. Екатеринбург ул. Бульвар Сиреневый, д. 1, оф. 313",6612010563,366150034,15.05.2015
59,60,Негосударственное образовательное учреждение дополнительного профессионального образования (повышение квалификации) специалистов «Академия по правам человека»,620075 Свердловская обл. Екатеринбург г Тургенева ул д.11 корп. 10,6614040495,666150033,15.05.2015
60,61,Частное учреждение в Калининграде по административной поддержке реализации программ и проектов Совета Министров северных стран,"236040, г. Калининград, ул. Черняховского, д.6, помещение 312",3914042239,639150031,13.05.2015
61,62,Межрегиональная благотворительная общественная организация «Центр развития некоммерческих организаций»,"191040,Санкт-Петербург, Лиговский пр, д.87, литер А, офис № 300, помещение 23-Н",7812010833,278150030,13.05.2015
62,63,Региональная общественная благотворительная организация помощи беженцам и мигрантам «Гражданское содействие»,"129110, Москва, Олимпийский пр-кт, д. 22",77120115020,377150025,20.04.2015
